[32m2021-12-06 15:45:39[0m :: vm_wlc_bench    :: line:425        :: [1;30mINFO      [0m :: Removed old logs directory
[32m2021-12-06 15:45:39[0m :: vm_wlc_bench    :: line:80         :: [1;30mINFO      [0m :: Setting env variable: DESTDIR=<location of synbench>
[32m2021-12-06 15:45:39[0m :: broker          :: line:48         :: [1;30mINFO      [0m :: Connected to MQTT broker: localhost on port: 1883
[32m2021-12-06 15:45:39[0m :: vm_wlc_bench    :: line:92         :: [1;30mINFO      [0m :: PID of this vm_wlc_bench instance is 27832
[32m2021-12-06 15:45:39[0m :: vm_support      :: line:85         :: [1;30mINFO      [0m :: VM ubuntu-vm-0 is already running, Not creating again
[32m2021-12-06 15:45:39[0m :: vm_support      :: line:85         :: [1;30mINFO      [0m :: VM ubuntu-vm-1 is already running, Not creating again
[32m2021-12-06 15:45:39[0m :: vm_wlc_bench    :: line:153        :: [1;30mINFO      [0m :: 2 VMs are having RTCP wkld running, need 2 "completed" messages at in total
[32m2021-12-06 15:45:39[0m :: vm_wlc_bench    :: line:165        :: [1;30mINFO      [0m :: Waiting for the 'completed' message from VMs having RTCP workloads
[32m2021-12-06 15:45:39[0m :: wl_launcher     :: line:147        :: [1;30mINFO      [0m :: Subscribe to initial topics with callbacks
[32m2021-12-06 15:45:39[0m :: wl_launcher     :: line:241        :: [1;30mINFO      [0m :: Pause subscription on KPI errors channel to handle new WL error spikes
[32m2021-12-06 15:45:39[0m :: broker          :: line:84         :: [1;30mINFO      [0m :: Unsubscribed from topic: +/+/kpi/error/+
[32m2021-12-06 15:45:39[0m :: wl_launcher     :: line:254        :: [1;30mINFO      [0m :: add_low-proxy-low instance: wl_#1 CMD:add_cmds/add_low_cpu_wl.sh start 1 10.99.114.63 8554 mystream FP16-INT8 CPU 10.99.114.167 PID:27849
[32m2021-12-06 15:45:39[0m :: wl_launcher     :: line:259        :: [1;30mINFO      [0m :: Wait for settling time of 5s
[32m2021-12-06 15:45:42[0m :: wl_launcher     :: line:101        :: [1;30mINFO      [0m :: [Received] on : add_weld_porosity/71373/kpi/status message: connected
[32m2021-12-06 15:45:44[0m :: wl_launcher     :: line:275        :: [1;30mINFO      [0m :: Restart subscription on KPI errors channel
[32m2021-12-06 15:45:44[0m :: wl_launcher     :: line:279        :: [1;30mINFO      [0m :: Watch for KPI errors in KPI window duration of: 10s
[32m2021-12-06 15:45:55[0m :: wl_launcher     :: line:147        :: [1;30mINFO      [0m :: Subscribe to initial topics with callbacks
[32m2021-12-06 15:45:55[0m :: wl_launcher     :: line:239        :: [1;30mINFO      [0m :: Ran workload initialization commands
[32m2021-12-06 15:45:55[0m :: wl_launcher     :: line:241        :: [1;30mINFO      [0m :: Pause subscription on KPI errors channel to handle new WL error spikes
[32m2021-12-06 15:45:55[0m :: broker          :: line:84         :: [1;30mINFO      [0m :: Unsubscribed from topic: +/+/kpi/error/+
[32m2021-12-06 15:45:55[0m :: wl_launcher     :: line:254        :: [1;30mINFO      [0m :: synbench-proxy-medium instance: wl_#2 CMD:python3 SSH/detailed_genvt_ssh.py 0 './start_wl.sh' PID:27959
[32m2021-12-06 15:45:55[0m :: wl_launcher     :: line:259        :: [1;30mINFO      [0m :: Wait for settling time of 5s
[32m2021-12-06 15:46:00[0m :: wl_launcher     :: line:263        :: [1;30mWARNING   [0m :: [33mNot received 'connected' message from synbench-proxy-medium.	Please check if workload is connected to the MQTT broker.	Check log file for any errors.	Or your WL may not be publishing messages on MQTT.	WL Density calculations will thus be incorrect[0m
[32m2021-12-06 15:46:00[0m :: wl_launcher     :: line:275        :: [1;30mINFO      [0m :: Restart subscription on KPI errors channel
[32m2021-12-06 15:46:00[0m :: wl_launcher     :: line:279        :: [1;30mINFO      [0m :: Watch for KPI errors in KPI window duration of: 10s
